,beer_id,Beer name_x,Brewery,Style,ABV,Score,Brewery_Name,Brewery_City,Brewery_Country,Availability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Beer + Brewery,Beer name_y
0,9609,Biere De Garde,Strange Fellows Brewing,French Bière de Garde,6.0,85.1754072225242,Strange Fellows Brewing,British Columbia,Canada,Rotating,0.046499155,0.12441229,0.20461194,0.24515806,-0.08680683,0.14745206,0.019475656,0.22384828,0.08092426,0.17088127,-0.04052424,0.09490313,0.06413046,-0.0014696848,0.08680189,0.121115595,0.07835118,0.15514725,0.16461568,0.1188067,0.0010606361,0.12654552,0.040639002,0.12151101,0.1880958,-0.015253641,0.0014873976,-0.043891538,0.23698367,0.09770794,-0.054034404,0.14443283,0.20601334,0.23489183,0.14726226,0.0028844501,0.2567191,0.20796709,0.21983759,0.24239865,0.20518836,-0.024759503,-0.043168016,-0.02717122,0.14126329,0.18018614,-0.0698179,-0.09870242,0.22133751,0.011320375,Biere De Garde - Strange Fellows Brewing,Biere De Garde
1,14633,Brews Brothers Hangin' Tough (Red Bock),Parallel 49 Brewing Company,German Bock,7.0,85.1754072225242,Parallel 49 Brewing Company,British Columbia,Canada,One-off,0.22407168,0.1704819,0.16390684,0.15897791,0.060175985,0.15167056,0.11063537,0.087462574,0.19004796,0.10078815,0.13431048,0.025891228,0.2162289,0.122845285,0.07732794,0.15712184,0.17824924,0.14364634,0.047449313,0.22484718,0.10692922,0.044914912,0.063399404,0.064572215,0.040117573,0.037089314,0.2034113,0.20643766,0.06288815,0.22818837,0.13379678,0.10091249,0.18005013,0.039198615,0.15723743,0.12156411,0.10398433,0.19773489,0.0706153,0.1767082,0.085666835,0.17855601,0.21049587,0.18846592,0.03068635,0.039824348,0.1895361,0.14768304,0.022690736,0.16500369,Brews Brothers Hangin' Tough (Red Bock) - Parallel 49 Brewing Company,Brews Brothers Hangin' Tough (Red Bock)
2,7943,Bavarian Copper Bock,CANOE Brewpub,German Bock,6.5,85.1754072225242,CANOE Brewpub,British Columbia,Canada,Rotating,0.1731231,-0.02733809,0.055686954,0.09456884,0.060270127,0.21654871,-0.0068657696,0.25934127,0.07890914,0.25132042,0.0119891325,-0.08113363,-0.057948884,0.12463882,0.047825154,0.029488988,0.10562456,0.22369559,0.22304551,0.23690096,0.12730145,-0.017498285,0.023921028,0.14976268,0.085702896,0.103438444,-0.09778477,-0.031259514,0.11441374,0.008136517,0.16333331,0.1099599,0.25007358,-0.020465823,0.012887229,0.05661489,0.0288076,0.0470843,0.2617317,0.115713485,0.19484268,0.16943133,0.08451503,0.043491684,-0.016338564,0.23145838,0.18241008,0.25368932,0.18241964,0.2059878,Bavarian Copper Bock - CANOE Brewpub,Bavarian Copper Bock
3,619,1897 Amber Ale,Stanley Park Brewery,Belgian Pale Ale,5.1,77.0,Stanley Park Brewery,British Columbia,Canada,Year-round,0.21154281,0.142116,0.20008543,0.07709504,0.16895436,0.1708299,0.1559033,0.17651504,0.1923003,0.09801703,0.023620535,0.07027292,-0.0102748005,0.122547,0.07730481,0.05373736,0.12171846,0.17954282,0.059353057,0.19224693,-0.00040727467,0.13568412,0.029573888,0.017972872,0.21034834,0.17997727,0.11578527,0.07222918,0.08277672,0.111624084,0.03188181,0.08894502,0.13886178,0.2039979,0.22866845,0.19993602,0.21839315,0.20196322,0.12950778,0.18564063,0.14124641,0.014292769,0.15132605,0.056289975,0.025794553,0.13479856,0.14662653,0.1868163,0.22569391,0.062402472,1897 Amber Ale - Stanley Park Brewery,1897 Amber Ale
4,8165,Bear Paw Honey Lager,Whistler Brewing Company,American Adjunct Lager,5.0,73.0,Whistler Brewing Company,British Columbia,Canada,Year-round,0.21370877,0.1887502,0.23075902,0.11056063,0.06266746,0.13146363,0.23933667,0.14889154,0.025123714,0.0015247918,0.085153155,0.020066274,-0.013731486,0.13815223,0.23774503,0.22461052,0.18532586,0.026843674,0.07232733,0.081672154,0.15038548,0.102257915,0.15659991,0.0384068,0.111733936,0.08487466,0.100414485,0.14882685,0.053275015,0.2045707,0.15164417,0.2179736,0.06408671,0.23886457,0.21814339,0.03819866,0.18066597,0.13871056,0.023172706,0.14822505,0.025424067,0.2322442,0.107273996,0.12738296,0.035539996,0.15313277,0.11105101,0.05009118,0.17331895,0.09148232,Bear Paw Honey Lager - Whistler Brewing Company,Bear Paw Honey Lager
5,50812,La Maison Grisette,Four Winds Brewing Co.,Belgian Pale Ale,4.5,84.0,Four Winds Brewing Co.,British Columbia,Canada,Rotating,0.17569803,0.18711887,0.104323,0.11179523,0.21279016,0.045740556,0.11790626,0.20193185,0.19857569,0.18269902,0.0530011,0.16447993,0.052554604,0.15036884,0.061942145,0.10678471,0.09618222,0.11233836,0.18460932,0.04986045,0.20962994,0.14871073,0.10629343,0.023887154,0.021106789,0.017440014,0.13888946,0.05977983,0.15391536,0.16845208,0.027353777,0.19434988,0.12237891,0.041984174,0.18266483,0.109560244,0.13119315,0.09277994,0.21902138,0.22042719,0.22528468,0.09876023,0.16472253,0.05224088,0.041066736,0.22807553,0.056086566,0.25055462,0.11899102,0.07866917,La Maison Grisette - Four Winds Brewing Co.,La Maison Grisette
6,66136,Pale Ale,Okanagan Spring Brewery,American Pale Ale (APA),5.0,76.0,Okanagan Spring Brewery,British Columbia,Canada,Year-round,0.076392636,0.1124279,0.15233158,0.034996096,0.12358074,0.16611774,0.19715844,0.17578116,0.15101148,0.16013992,0.057397123,0.17147678,0.14803968,0.13209447,0.17143421,0.053572178,0.09355724,0.06073355,0.07432006,0.12719196,0.12418762,0.13478936,0.20299006,0.027752986,0.08926784,0.1761015,0.091996565,0.10916415,0.20094113,0.059351657,0.047497254,0.16760997,0.10273242,0.19641498,0.052817717,0.06700888,0.07992511,0.17645498,0.070511915,0.2142476,0.19848682,0.22366591,0.19998361,0.15857235,0.052734744,0.243795,0.13075438,0.19080062,0.14872718,0.10561469,Pale Ale - Okanagan Spring Brewery,Pale Ale
7,27411,Drawn To Light,Driftwood Brewery,Belgian Pale Ale,7.0,83.0,Driftwood Brewery,British Columbia,Canada,Rotating,0.060167488,0.19070539,0.07644967,0.11008438,0.14683312,0.21470667,0.10261162,0.2038098,0.03706229,0.13420689,0.056747917,0.11107438,0.21362631,0.20144656,0.09360746,0.042447485,0.2241771,0.21848892,0.15909295,0.20952411,0.028368773,0.18367885,0.091458134,0.11658825,0.0925636,0.18448217,0.092674255,0.045077458,0.094448596,0.15178092,0.15122426,0.14545871,0.20929085,0.033322282,0.09772446,0.09664772,0.078467205,0.23308611,0.061682165,0.22591928,0.049778376,0.10955828,0.05897561,0.12350382,0.081869096,0.1506792,0.20770605,0.097682156,0.06442298,0.19773588,Drawn To Light - Driftwood Brewery,Drawn To Light
8,73293,Red Racer Classic Pale Ale,Central City Brewers + Distillers,American Pale Ale (APA),5.0,86.0,Central City Brewers + Distillers,British Columbia,Canada,Year-round,0.1855808,0.16421783,0.032622654,0.100064136,0.090056114,0.1586339,0.2069617,0.12749416,0.14698085,0.21507765,0.20592327,0.08054789,0.17375682,0.16177355,0.20631449,0.12282435,0.071584046,0.07606299,0.1989536,0.091045745,0.17600153,0.09253178,0.21890111,0.1101627,0.1721529,0.107354686,0.10830327,0.19705828,0.088883854,0.15196893,0.11046447,0.110024124,0.08274855,0.032970812,0.08091741,0.21827422,-0.0033961697,0.21110259,0.007599612,0.0470724,0.1824312,0.06926564,0.20808297,0.16607353,0.06346358,0.04685988,0.016397007,0.098248735,0.15877374,0.1992435,Red Racer Classic Pale Ale - Central City Brewers + Distillers,Red Racer Classic Pale Ale
9,76484,Said The Ale,Townsite Brewing,Belgian Pale Ale,5.8,85.1754072225242,Townsite Brewing,British Columbia,Canada,Rotating,0.22607093,0.1163941,0.2697552,0.20323785,0.09363445,0.07889369,-0.0007212307,0.040354464,0.14161542,0.12749784,0.12684174,0.040005505,0.040818248,0.112526596,0.08302117,0.029567052,0.21833327,0.13375458,0.117241256,0.023337206,0.04320382,0.2100234,0.11804381,0.16743368,0.0885381,0.09426793,0.22954088,0.20625444,0.038629513,0.21777774,0.056185294,0.02112941,0.14062655,0.032390546,0.19513285,0.0094544785,0.23063496,0.14951769,0.2087869,0.16670208,0.12858523,0.14844145,0.082621254,0.21701562,0.13194333,0.17998229,0.0030050708,0.16802938,0.13938203,0.019950958,Said The Ale - Townsite Brewing,Said The Ale
